Student,Currently in,Recommended Course,num_ops_1_1,num_ops_2_1,num_ops_3_1,alg_exp_1_1,alg_exp_2_1,alg_exp_3_1,expn_1_1,expn_2_1,expn_3_2,num_ops_4_1,linear_1_3,linear_2_2,alg_exp_4_2,geom_1_2,linear_3_2,geom_2_1,geom_3_2,func_1_2,quad_1_2,quad_2_2,quad_3_3,quad_4_3,func_2_2,func_3_3,func_4_3,func_5_3,expn_4_2,expn_5_2,expn_6_3,expn_7_2,expn_8_3,quad_5_3
Student 115,Math Studies,Math Studies,1,1,1,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,1,1,1,0,0,0.5,0,0,1,1,0.5,0,0,0,0,0,0
Student 116,Math HL,Math HL,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1
Student 117,Math HL,Math HL,1,1,1,1,1,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1,1,1,0.5,0.5,1,1,1,0.5,0,1,1,1,1,0
Student 118,Math SL,Math SL,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0.5,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0,0.5
Student 119,Math HL,Math HL,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,0,0,1,1,0,1,1,1,1,0,0.5,0.5,1,1,1,0,1
Student 120,Math HL,Math SL,1,0,1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,0,1,0,1,1,1,0.5,0,0,0,1,1,0.5,0,0.5,1,0.5,0.5,0
Student 121,Math HL,Math HL,1,1,1,1,1,0,1,1,0.5,1,0,0,1,0.5,0.5,1,1,1,1,1,0,0.5,1,1,1,0.5,0.5,0.5,1,1,0,1
Student 122,Math HL,Math HL,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,1,1
Student 123,Math SL,Math Studies,1,1,1,0.5,0,0.5,1,0.5,0,1,0,0,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0.5,0,1,0,0
Student 124,Math SL,Math Studies,1,1,1,0,0.5,1,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Student 125,Math HL,Math Studies,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0,0.5,0,0,0,0,0,0
Student 126,Math Studies,Math Studies,1,1,1,1,0.5,1,1,1,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
Student 127,Math Studies,Math Studies,1,1,1,0,1,1,0,0.5,0.5,1,0,0,0.5,0,1,0.5,1,0.5,0,1,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0
Student 128,Math SL,Math Studies,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.5,1,0,0,0,1,0
Student 129,Math HL,Math HL,1,1,1,1,1,0.5,0.5,1,1,1,0,1,0.5,1,1,1,1,1,0.5,1,0.5,0.5,1,0.5,0,0.5,0.5,1,1,0,0,1
Student 130,Math HL,Math HL,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0.5,0.5,1,1,1,1,0.5
Student 131,Math HL,Math SL,1,1,1,1,1,1,1,1,0.5,1,0,0,0,0.5,0.5,1,1,1,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0,1,1,0
Student 132,Math SL,Math SL,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0.5,1,1,1,0,0,0.5,0,1,1,1,0,0,1,0,0,0,0
Student 133,Math SL,Math Studies,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Student 134,Math SL,Math Studies,1,1,1,1,1,1,0,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Student 135,Math SL,Math SL,1,1,1,1,0.5,1,1,1,1,1,0,0,1,1,0.5,0.5,1,0.5,1,0.5,0,0,0,1,0.5,0.5,0,0,0,0,0,0
Student 136,Math HL,Math HL,1,1,1,1,1,1,1,1,0.5,1,0,0,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,0,1,0.5,0.5,1,1,0.5,0
Student 137,Math Studies,Math Studies,1,1,1,0,0,0,1,1,0.5,1,0,1,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0
Student 138,Math HL,Math HL,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0,0.5,1,1,1,1,0,0,0.5,1,1,1,1,0.5,1,1,1,0.5,0
